LANGUAGE,English,German,Czech,Russian,Polish,Spanish,Korean
,,,,,,,
COMMENT,Date and Time,Datum und Uhrzeit,Datum a èas,Äàòà è âğåìÿ,Data i godzina,Dia y Hora,ÀÏ½Ã
STR_SUNDAY,Sun,So,Ne,Âîñêğåñåíüå,Nie,Dom,ÀÏ¿äÀÏ
STR_MONDAY,Mon,Mo,Po,Ïîíåäåëüíèê,Pon,Lun,¿ù¿äÀÏ
STR_TUESDAY,Tue,Di,Út,Âòîğíèê,Wt,Mar,È­¿äÀÏ
STR_WEDNESDAY,Wed,Mi,St,Ñğåäà,Œr,Mié,¼ö¿äÀÏ
STR_THURSDAY,Thu,Do,Èt,×åòâåğã,Czw,Jue,¸ñ¿äÀÏ
STR_FRIDAY,Fri,Fr,Pá,Ïÿòíèöà,Pt,Vié,±İ¿äÀÏ
STR_SATURDAY,Sat,Sa,So,Ñóááîòà,Sob,Sab,Åä¿äÀÏ
,,,,,,,
STR_JANUARY,Jan,Jan,I,ßíâàğÿ,Sty,Ene,1¿ù
STR_FEBRUARY,Feb,Feb,II,Ôåâğàëÿ,Lut,Feb,2¿ù
STR_MARCH,Mar,Mär,III,Ìàğòà,Mar,Mar,3¿ù
STR_APRIL,Apr,Apr,IV,Àïğåëÿ,Kwi,Abr,4¿ù
STR_MAY,May,Mai,V,Ìàÿ,Maj,May,5¿ù
STR_JUNE,Jun,Jun,VI,Èşíÿ,Cze,Jun,6¿ù
STR_JULY,Jul,Jul,VII,Èşëÿ,Lip,Jul,7¿ù
STR_AUGUST,Aug,Aug,VIII,Àâãóñòà,Sie,Ago,8¿ù
STR_SEPTEMBER,Sep,Sep,IX,Ñåíòÿáğÿ,Wrz,Set,9¿ù
STR_OCTOBER,Oct,Okt,X,Îêòÿáğÿ,PaŸ,Oct,10¿ù
STR_NOVEMBER,Nov,Nov,XI,Íîÿáğÿ,Lis,Nov,11¿ù
STR_DECEMBER,Dec,Dez,XII,Äåêàáğÿ,Gru,Dic,12¿ù
,,,,,,,
STR_DATE_FORMAT,"%a, %b %d","%a, %b %d","%a, %d. %b.","%a, %d %b","%a, %b %d","%a, %b %d","%a, %b %d"
STR_DATE_FORMAT_SHORT,%b %d,%b %d,%d. %b.,%d %b,%b %d,%b %d,%b %d
STR_TIME_FORMAT,% 2d:%02d,% 2d:%02d,% 2d:%02d,% 2d:%02d,% 2d:%02d,% 2d:%02d,% 2d:%02d
STR_MAP_INFO_OLD,Info age: % 2d:%02d,Info-Alter: % 2d:%02d,Stáøí infce: % 2d:%02d,Äàòèğîâêà: % 2d:%02d,Wiek: % 2d:%02d,Info age: % 2d:%02d,Info age: % 2d:%02d
,,,,,,,
STR_RESOLUTION_FORMAT,%d x %d x %d,%d x %d x %d,%d x %d x %d,%d x %d x %d,%d x %d x %d,%d x %d x %d,%d x %d x %d
STR_REFRESH_RATE_FORMAT,%d Hz,%d Hz,%d Hz,%d Ãö,%d Hz,%d Hz,%d x %d x %d
STR_WINDOWED,Windowed,Im Fenster,V oknì,Â îêíå,W oknie,En ventana,%d x %d x %d
,,,,,,,
COMMENT,Sides,Seiten,Strany,Ñòîğîíû,Strony,Bandos,¼Ò¼Ó
STR_WEST,West,Westen,Západ,ÍÀÒÎ,Zachód,Oeste,¼Ò·Ã±º
STR_EAST,East,Osten,Vıchod,ÑÑÑĞ,Wschód,Este,³ªÅä±º
STR_GUERRILA,Resistance,Widerstandskämpfer,Partyzáni,Ñîïğîòèâëåíèå,Partyzanci,Resistencia,·¹Áö½ºÅÁ½º
STR_CIVILIAN,Civilian,Zivilisten,Civilisté,Ãğàæäàíñêèå,Cywile,Civiles,¹Î°£ÀÎ
STR_LOGIC,Game Logic,Logik des Spiels,Logika hry,Ëîãèêà èãğû,Element logiczny,Lógica del juego,°ÔÀÓ ·ÎÁ÷
STR_EMPTY,Empty,Leer,Prázdnı,Íåò,Pusty,Vacío,Empty
STR_NOBODY,Nobody,Niemand,Nikdo,Íèêòî,Nikt,Ninguno,Nobody
,,,,,,,
COMMENT,Ranks,Dienstgrade,Hodnosti,Çâàíèÿ,Stopnie,Rango,°è±Ş
STR_PRIVATE,Private,Soldat,Vojín,Ğÿäîâîé,Szeregowy,Soldado Raso,ÀÌº´
STR_CORPORAL,Corporal,Gefreiter,Desátník,Êàïğàë,Kapral,Cabo,»óº´
STR_SERGEANT,Sergeant,Feldwebel,Serant,Ñåğæàíò,Sier¿ant,Sargento,º´Àå
STR_LIEUTNANT,Lieutenant,Leutnant,Poruèík,Ëåéòåíàíò,Porucznik,Teniete,¼ÒÀ§
STR_CAPTAIN,Captain,Hauptmann,Kapitán,Êàïèòàí,Kapitan,Capitán,´ëÀ§
STR_MAJOR,Major,Major,Major,Ìàéîğ,Major,Mayor,¼Ò·É
STR_COLONEL,Colonel,Oberst,Plukovník,Ïîëêîâíèê,Pu³kownik,Coronel,´ë·É
STR_GENERAL,General,General,Generál,Ãåíåğàë,Genera³,General,´ëÀå
,,,,,,,
STR_SHORT_PRIVATE,Pvt,Sold,Voj,Ğÿä,szer,Sold,ÀÌº´
STR_SHORT_CORPORAL,Corp,Gefr,Des,Êïğ,kpr,Cabo,»óº´
STR_SHORT_SERGEANT,Sgt,Feldw,Sr,Ñ-ò,sier¿,Sarg,º´Àå
STR_SHORT_LIEUTNANT,Ltn,Leutn,Por,Ë-ò,por,Ten,¼ÒÀ§
STR_SHORT_CAPTAIN,Cpt,Hptm,Kap,Ê-í,kpt,Cap,´ëÀ§
STR_SHORT_MAJOR,Mjr,Ma,Maj,Ì-ğ,mjr,May,¼Ò·É
STR_SHORT_COLONEL,Col,Ob,Plk,Ï-ê,p³k,Cor,´ë·É
STR_SHORT_GENERAL,Gen,Gen,Gen,Ãåí,gen,Gen,´ëÀå
,,,,,,,
COMMENT,Combat modes and Formations,Kampfmodi und Formationen,Reimy a formace,Áîåâûå ğåæèìû è ïîñòğîåíèÿ,Postawy i szyki,Modos de combate,ÀüÅõ ¸ğµå ¹× ´ë¿­
STR_IGNORE,Never fire,Nie feuern,Nikdy nestøílet,Íå ñòğåëÿòü,Nie strzelaæ bez rozkazu,Nunca disparar,»ç°İÀı´ë±İÁö
STR_BYPASS,Hold fire,Feuerpause,Nestøílet,Ïğåêğàòèòü îãîíü,Wstrzymaæ ogieñ,Alto al fuego,»ç°İ±İÁö
STR_WHITE,"Hold fire, Engage at will","Feuerpause, Eigenständiger Angriff ","Nestøílet, formace volná",Ñäåğæèâàòü îãîíü,"Wstrzymaæ ogieñ, mo¿na atakowaæ","Alto al fuego, atacar adiscreción","»ç°İ ±İÁö, Á¢±Ù °ø°İ"
STR_CONTACT,Open fire,Feuer eröffnen,Støílet normálnì,Îãíåâîé êîíòàêò,Otworzyæ ogieñ,Abrir fuego,»ç°İ°³½Ã
STR_ENGAGE,"Open fire, Engage at will","Feuer eröffnen, Eigenständiger Angriff ","Støílet normálnì, formace volná",Àòàêîâàòü,"Strzelaæ, mo¿na atakowaæ","Abrir fuego, atacar a discreción","»ç°İ°³½Ã, Á¢±Ù °ø°İ"
STR_OPEN_FIRE,Open fire,Feuer eröffnen,Støílet,Îãîíü,Otworzyæ ogieñ,Fuego,»ç°İ°³½Ã
STR_HOLD_FIRE,Hold fire,Feuerpause,Nestøílet,Ïğåêğàòèòü îãîíü,Wstrzymaæ ogieñ,Alto al fuego,»ç°İ±İÁö
STR_STEALTH,Stealth,Tarnung,Ukrıvání,Áûòü îñòîğîæíûì,Ukradkiem,Sigilio,ÀºÆó
STR_COMBAT,Danger,Gefahr,Nebezpeèí,Óãğîçà,Niebezpieczeñstwo,Peligro,À§Çè
