LANGUAGE,Chinese
,
COMMENT,Multiple Language Supporting
TZK_LANG_MOVE,移动
TZK_LANG_CLEAR,清除
TZK_LANG_STOP,停止
TZK_LANG_ORDER,命令
TZK_LANG_AREA,区域
TZK_LANG_SHOOT,炮击
TZK_LANG_AND,和
TZK_LANG_MINE,地雷
TZK_LANG_DISABLE,解除
TZK_LANG_HEAL,医疗
TZK_LANG_REPAIR,维修
TZK_LANG_REARM,装弹
TZK_LANG_BOARD,搭车
TZK_LANG_OCCUPY,进防御塔
TZK_LANG_RECLAIM,回收载具
TZK_LANG_DISBAND,消除
TZK_LANG_EJECT,跳车
TZK_LANG_GETOFF,下车
TZK_LANG_JOIN,加入
TZK_LANG_AIR,飞机
TZK_LANG_TANK,坦克
TZK_LANG_WATCH,观察
TZK_LANG_SEAT,座位
TZK_LANG_ENGINEOFF,熄火
TZK_LANG_ON,ON
TZK_LANG_OFF,OFF
TZK_LANG_SPOOF,热饵弹
TZK_LANG_RETURN,返回
TZK_LANG_HEIGHT,高度
TZK_LANG_SABOT,穿甲弹
TZK_LANG_HEAT,高爆弹
TZK_LANG_DISENGAGE,禁止接敌
TZK_LANG_DEPLOY,部署
TZK_LANG_UNDEPLOY,解除部署
TZK_LANG_SWITCH,切换
TZK_LANG_MAGAZINE,弹夹
TZK_LANG_AUTO,自动
TZK_LANG_BIG,大
TZK_LANG_ANGLE,角度
TZK_LANG_POINT,点
TZK_LANG_EDIT,编辑
TZK_LANG_PLAYER,玩家
TZK_LANG_SERVER,服务器
TZK_LANG_ALL,全部
TZK_LANG_DESTRUCTION,拆除
TZK_LANG_BUILD,建造
TZK_LANG_BRIDGE,桥梁
TZK_LANG_OBSTRUCT,障碍物
TZK_LANG_WAYPOINT,路点
TZK_LANG_SET,设置
TZK_LANG_AI,AI
TZK_LANG_GROUP,小组
TZK_LANG_HIGH,高
TZK_LANG_WALL,围墙
TZK_LANG_ROOF,房顶
TZK_LANG_BASE,基地
TZK_LANG_MORTAR,迫击炮
TZK_LANG_SURRENDER,投降
TZK_LANG_WORKER,工人
TZK_LANG_BUY,购买
TZK_LANG_EQUIPMENT,装备
TZK_LANG_CROSS,穿过
TZK_LANG_SHIP,船只
TZK_LANG_SHOWN,显示
,
TZK_LANG_SHORT_MACHINEGUN,机枪
TZK_LANG_SHORT_LANDING,降落
TZK_LANG_SHORT_SHOOT,炮击
TZK_LANG_SHORT_TRANSPORT,运输
TZK_LANG_SHORT_ARTILLERY,火炮
TZK_LANG_SHORT_AFTER_BURNER,喷射
TZK_LANG_SHORT_MAGAZINE,弹夹
TZK_LANG_SHORT_PLAYER,玩家
TZK_LANG_SHORT_SERVER,服务器
,
TZK_LANG_ASSAULT,攻击
TZK_LANG_AT_LEAST,至少
TZK_LANG_AT_MOST,至多
TZK_LANG_AT_WILL,自主
TZK_LANG_AWARE,警惕
TZK_LANG_BEHAVIOUR,行为
TZK_LANG_BUILT,建造
TZK_LANG_CARELESS,松懈
TZK_LANG_CHANGE,改变
TZK_LANG_COMBAT,战斗
TZK_LANG_CONFIRM,确认
TZK_LANG_CURRENT,当前的
TZK_LANG_DEFAULT,缺省的
TZK_LANG_DELETE,删除
TZK_LANG_DDESTROY,摧毁
TZK_LANG_DISTANCE,距离
TZK_LANG_DONT_USE,不使用
TZK_LANG_ENGAGE,接敌
TZK_LANG_END,结束
TZK_LANG_ENGINEER,工程
TZK_LANG_FACTORIES,工厂
TZK_LANG_FACTORY,工厂
TZK_LANG_FAILED,失败
TZK_LANG_FAR,远
TZK_LANG_FIRE,射击
TZK_LANG_FREE,自由的
TZK_LANG_FUND,资金
TZK_LANG_GAP_GENERATOR,裂缝产生器
TZK_LANG_HOLD,保持
TZK_LANG_INSUFFICIENT,紧缺的
TZK_LANG_KEEP,保持
TZK_LANG_HELICOPTER_LAND,降落
TZK_LANG_LAND,地面的
TZK_LANG_LINE,线
TZK_LANG_LOCK,上锁
TZK_LANG_MENU,菜单
TZK_LANG_METER,米
TZK_LANG_MODE,模式
TZK_LANG_MORE_THAN,多于
TZK_LANG_NEAR,靠近
TZK_LANG_NEARBY,附近的
TZK_LANG_NEVER,从不
TZK_LANG_NOTHING,无物
TZK_LANG_OBSTRUCTION,障碍物
TZK_LANG_ON_START,在起始
TZK_LANG_PICKUP,捎上
TZK_LANG_PLACE,放置
TZK_LANG_POSITION,坐标
TZK_LANG_PREDEFINED,预定义的
TZK_LANG_PREPARE,准备
TZK_LANG_RALLY,聚集
TZK_LANG_RANGE,范围
TZK_LANG_RATE,比例
TZK_LANG_RECYCLE,回收
TZK_LANG_RESULT,结果
TZK_LANG_RULE,规则
TZK_LANG_SAME,相同的
